train_dataset,eval_dataset,algorithm,layer,layer_name,accuracy,n_samples,in_distribution
arc_easy,arc_easy,CCS,0,h0,0.28,50,True
arc_easy,common_sense_qa,CCS,0,h0,0.2,40,False
arc_easy,boolq,CCS,0,h0,0.6,100,False
arc_easy,imdb,CCS,0,h0,1.0,100,False
arc_easy,dbpedia_14,CCS,0,h0,0.75,100,False
arc_easy,arc_easy,LAT,0,h0,0.28,50,True
arc_easy,common_sense_qa,LAT,0,h0,0.225,40,False
arc_easy,boolq,LAT,0,h0,0.63,100,False
arc_easy,imdb,LAT,0,h0,1.0,100,False
arc_easy,dbpedia_14,LAT,0,h0,0.58,100,False
arc_easy,arc_easy,DIM,0,h0,0.32,50,True
arc_easy,common_sense_qa,DIM,0,h0,0.275,40,False
arc_easy,boolq,DIM,0,h0,0.53,100,False
arc_easy,imdb,DIM,0,h0,1.0,100,False
arc_easy,dbpedia_14,DIM,0,h0,0.71,100,False
arc_easy,arc_easy,LDA,0,h0,0.26,50,True
arc_easy,common_sense_qa,LDA,0,h0,0.175,40,False
arc_easy,boolq,LDA,0,h0,0.6,100,False
arc_easy,imdb,LDA,0,h0,1.0,100,False
arc_easy,dbpedia_14,LDA,0,h0,0.58,100,False
arc_easy,arc_easy,LR,0,h0,0.28,50,True
arc_easy,common_sense_qa,LR,0,h0,0.25,40,False
arc_easy,boolq,LR,0,h0,0.61,100,False
arc_easy,imdb,LR,0,h0,1.0,100,False
arc_easy,dbpedia_14,LR,0,h0,0.72,100,False
arc_easy,arc_easy,LR-G,0,h0,0.34,50,True
arc_easy,common_sense_qa,LR-G,0,h0,0.275,40,False
arc_easy,boolq,LR-G,0,h0,0.61,100,False
arc_easy,imdb,LR-G,0,h0,1.0,100,False
arc_easy,dbpedia_14,LR-G,0,h0,0.71,100,False
arc_easy,arc_easy,PCA,0,h0,0.28,50,True
arc_easy,common_sense_qa,PCA,0,h0,0.25,40,False
arc_easy,boolq,PCA,0,h0,0.61,100,False
arc_easy,imdb,PCA,0,h0,1.0,100,False
arc_easy,dbpedia_14,PCA,0,h0,0.68,100,False
arc_easy,arc_easy,PCA-G,0,h0,0.28,50,True
arc_easy,common_sense_qa,PCA-G,0,h0,0.175,40,False
arc_easy,boolq,PCA-G,0,h0,0.6,100,False
arc_easy,imdb,PCA-G,0,h0,0.96,100,False
arc_easy,dbpedia_14,PCA-G,0,h0,0.75,100,False
arc_easy,arc_easy,CCS,2,h2,0.3,50,True
arc_easy,common_sense_qa,CCS,2,h2,0.225,40,False
arc_easy,boolq,CCS,2,h2,0.6,100,False
arc_easy,imdb,CCS,2,h2,0.76,100,False
arc_easy,dbpedia_14,CCS,2,h2,0.62,100,False
arc_easy,arc_easy,LAT,2,h2,0.26,50,True
arc_easy,common_sense_qa,LAT,2,h2,0.2,40,False
arc_easy,boolq,LAT,2,h2,0.6,100,False
arc_easy,imdb,LAT,2,h2,1.0,100,False
arc_easy,dbpedia_14,LAT,2,h2,0.77,100,False
arc_easy,arc_easy,DIM,2,h2,0.34,50,True
arc_easy,common_sense_qa,DIM,2,h2,0.175,40,False
arc_easy,boolq,DIM,2,h2,0.54,100,False
arc_easy,imdb,DIM,2,h2,0.64,100,False
arc_easy,dbpedia_14,DIM,2,h2,0.6,100,False
arc_easy,arc_easy,LDA,2,h2,0.26,50,True
arc_easy,common_sense_qa,LDA,2,h2,0.25,40,False
arc_easy,boolq,LDA,2,h2,0.62,100,False
arc_easy,imdb,LDA,2,h2,1.0,100,False
arc_easy,dbpedia_14,LDA,2,h2,0.82,100,False
arc_easy,arc_easy,LR,2,h2,0.34,50,True
arc_easy,common_sense_qa,LR,2,h2,0.225,40,False
arc_easy,boolq,LR,2,h2,0.53,100,False
arc_easy,imdb,LR,2,h2,0.61,100,False
arc_easy,dbpedia_14,LR,2,h2,0.52,100,False
arc_easy,arc_easy,LR-G,2,h2,0.36,50,True
arc_easy,common_sense_qa,LR-G,2,h2,0.2,40,False
arc_easy,boolq,LR-G,2,h2,0.51,100,False
arc_easy,imdb,LR-G,2,h2,0.57,100,False
arc_easy,dbpedia_14,LR-G,2,h2,0.59,100,False
arc_easy,arc_easy,PCA,2,h2,0.28,50,True
arc_easy,common_sense_qa,PCA,2,h2,0.175,40,False
arc_easy,boolq,PCA,2,h2,0.6,100,False
arc_easy,imdb,PCA,2,h2,1.0,100,False
arc_easy,dbpedia_14,PCA,2,h2,0.88,100,False
arc_easy,arc_easy,PCA-G,2,h2,0.32,50,True
arc_easy,common_sense_qa,PCA-G,2,h2,0.2,40,False
arc_easy,boolq,PCA-G,2,h2,0.53,100,False
arc_easy,imdb,PCA-G,2,h2,0.73,100,False
arc_easy,dbpedia_14,PCA-G,2,h2,0.58,100,False
arc_easy,arc_easy,CCS,4,h4,0.26,50,True
arc_easy,common_sense_qa,CCS,4,h4,0.275,40,False
arc_easy,boolq,CCS,4,h4,0.64,100,False
arc_easy,imdb,CCS,4,h4,1.0,100,False
arc_easy,dbpedia_14,CCS,4,h4,0.59,100,False
arc_easy,arc_easy,LAT,4,h4,0.28,50,True
arc_easy,common_sense_qa,LAT,4,h4,0.275,40,False
arc_easy,boolq,LAT,4,h4,0.6,100,False
arc_easy,imdb,LAT,4,h4,1.0,100,False
arc_easy,dbpedia_14,LAT,4,h4,0.92,100,False
arc_easy,arc_easy,DIM,4,h4,0.42,50,True
arc_easy,common_sense_qa,DIM,4,h4,0.25,40,False
arc_easy,boolq,DIM,4,h4,0.6,100,False
arc_easy,imdb,DIM,4,h4,1.0,100,False
arc_easy,dbpedia_14,DIM,4,h4,0.51,100,False
arc_easy,arc_easy,LDA,4,h4,0.34,50,True
arc_easy,common_sense_qa,LDA,4,h4,0.3,40,False
arc_easy,boolq,LDA,4,h4,0.52,100,False
arc_easy,imdb,LDA,4,h4,1.0,100,False
arc_easy,dbpedia_14,LDA,4,h4,0.76,100,False
arc_easy,arc_easy,LR,4,h4,0.4,50,True
arc_easy,common_sense_qa,LR,4,h4,0.25,40,False
arc_easy,boolq,LR,4,h4,0.6,100,False
arc_easy,imdb,LR,4,h4,1.0,100,False
arc_easy,dbpedia_14,LR,4,h4,0.66,100,False
arc_easy,arc_easy,LR-G,4,h4,0.42,50,True
arc_easy,common_sense_qa,LR-G,4,h4,0.275,40,False
arc_easy,boolq,LR-G,4,h4,0.6,100,False
arc_easy,imdb,LR-G,4,h4,1.0,100,False
arc_easy,dbpedia_14,LR-G,4,h4,0.65,100,False
arc_easy,arc_easy,PCA,4,h4,0.3,50,True
arc_easy,common_sense_qa,PCA,4,h4,0.325,40,False
arc_easy,boolq,PCA,4,h4,0.6,100,False
arc_easy,imdb,PCA,4,h4,1.0,100,False
arc_easy,dbpedia_14,PCA,4,h4,0.94,100,False
arc_easy,arc_easy,PCA-G,4,h4,0.32,50,True
arc_easy,common_sense_qa,PCA-G,4,h4,0.25,40,False
arc_easy,boolq,PCA-G,4,h4,0.61,100,False
arc_easy,imdb,PCA-G,4,h4,0.92,100,False
arc_easy,dbpedia_14,PCA-G,4,h4,0.62,100,False
arc_easy,arc_easy,CCS,6,h6,0.32,50,True
arc_easy,common_sense_qa,CCS,6,h6,0.3,40,False
arc_easy,boolq,CCS,6,h6,0.6,100,False
arc_easy,imdb,CCS,6,h6,1.0,100,False
arc_easy,dbpedia_14,CCS,6,h6,0.52,100,False
arc_easy,arc_easy,LAT,6,h6,0.26,50,True
arc_easy,common_sense_qa,LAT,6,h6,0.35,40,False
arc_easy,boolq,LAT,6,h6,0.6,100,False
arc_easy,imdb,LAT,6,h6,0.99,100,False
arc_easy,dbpedia_14,LAT,6,h6,0.72,100,False
arc_easy,arc_easy,DIM,6,h6,0.36,50,True
arc_easy,common_sense_qa,DIM,6,h6,0.225,40,False
arc_easy,boolq,DIM,6,h6,0.55,100,False
arc_easy,imdb,DIM,6,h6,1.0,100,False
arc_easy,dbpedia_14,DIM,6,h6,0.81,100,False
arc_easy,arc_easy,LDA,6,h6,0.28,50,True
arc_easy,common_sense_qa,LDA,6,h6,0.2,40,False
arc_easy,boolq,LDA,6,h6,0.6,100,False
arc_easy,imdb,LDA,6,h6,1.0,100,False
arc_easy,dbpedia_14,LDA,6,h6,0.75,100,False
arc_easy,arc_easy,LR,6,h6,0.36,50,True
arc_easy,common_sense_qa,LR,6,h6,0.25,40,False
arc_easy,boolq,LR,6,h6,0.56,100,False
arc_easy,imdb,LR,6,h6,1.0,100,False
arc_easy,dbpedia_14,LR,6,h6,0.51,100,False
arc_easy,arc_easy,LR-G,6,h6,0.38,50,True
arc_easy,common_sense_qa,LR-G,6,h6,0.25,40,False
arc_easy,boolq,LR-G,6,h6,0.56,100,False
arc_easy,imdb,LR-G,6,h6,1.0,100,False
arc_easy,dbpedia_14,LR-G,6,h6,0.62,100,False
arc_easy,arc_easy,PCA,6,h6,0.24,50,True
arc_easy,common_sense_qa,PCA,6,h6,0.325,40,False
arc_easy,boolq,PCA,6,h6,0.6,100,False
arc_easy,imdb,PCA,6,h6,0.99,100,False
arc_easy,dbpedia_14,PCA,6,h6,0.65,100,False
arc_easy,arc_easy,PCA-G,6,h6,0.22,50,True
arc_easy,common_sense_qa,PCA-G,6,h6,0.25,40,False
arc_easy,boolq,PCA-G,6,h6,0.6,100,False
arc_easy,imdb,PCA-G,6,h6,1.0,100,False
arc_easy,dbpedia_14,PCA-G,6,h6,0.54,100,False
arc_easy,arc_easy,CCS,8,h8,0.32,50,True
arc_easy,common_sense_qa,CCS,8,h8,0.3,40,False
arc_easy,boolq,CCS,8,h8,0.51,100,False
arc_easy,imdb,CCS,8,h8,1.0,100,False
arc_easy,dbpedia_14,CCS,8,h8,0.57,100,False
arc_easy,arc_easy,LAT,8,h8,0.24,50,True
arc_easy,common_sense_qa,LAT,8,h8,0.225,40,False
arc_easy,boolq,LAT,8,h8,0.6,100,False
arc_easy,imdb,LAT,8,h8,0.99,100,False
arc_easy,dbpedia_14,LAT,8,h8,0.86,100,False
arc_easy,arc_easy,DIM,8,h8,0.42,50,True
arc_easy,common_sense_qa,DIM,8,h8,0.175,40,False
arc_easy,boolq,DIM,8,h8,0.6,100,False
arc_easy,imdb,DIM,8,h8,1.0,100,False
arc_easy,dbpedia_14,DIM,8,h8,0.59,100,False
arc_easy,arc_easy,LDA,8,h8,0.28,50,True
arc_easy,common_sense_qa,LDA,8,h8,0.275,40,False
arc_easy,boolq,LDA,8,h8,0.6,100,False
arc_easy,imdb,LDA,8,h8,1.0,100,False
arc_easy,dbpedia_14,LDA,8,h8,0.6,100,False
arc_easy,arc_easy,LR,8,h8,0.4,50,True
arc_easy,common_sense_qa,LR,8,h8,0.15,40,False
arc_easy,boolq,LR,8,h8,0.6,100,False
arc_easy,imdb,LR,8,h8,1.0,100,False
arc_easy,dbpedia_14,LR,8,h8,0.69,100,False
arc_easy,arc_easy,LR-G,8,h8,0.44,50,True
arc_easy,common_sense_qa,LR-G,8,h8,0.175,40,False
arc_easy,boolq,LR-G,8,h8,0.6,100,False
arc_easy,imdb,LR-G,8,h8,1.0,100,False
arc_easy,dbpedia_14,LR-G,8,h8,0.66,100,False
arc_easy,arc_easy,PCA,8,h8,0.22,50,True
arc_easy,common_sense_qa,PCA,8,h8,0.275,40,False
arc_easy,boolq,PCA,8,h8,0.6,100,False
arc_easy,imdb,PCA,8,h8,0.81,100,False
arc_easy,dbpedia_14,PCA,8,h8,0.76,100,False
arc_easy,arc_easy,PCA-G,8,h8,0.32,50,True
arc_easy,common_sense_qa,PCA-G,8,h8,0.225,40,False
arc_easy,boolq,PCA-G,8,h8,0.6,100,False
arc_easy,imdb,PCA-G,8,h8,1.0,100,False
arc_easy,dbpedia_14,PCA-G,8,h8,0.54,100,False
arc_easy,arc_easy,CCS,10,h10,0.26,50,True
arc_easy,common_sense_qa,CCS,10,h10,0.225,40,False
arc_easy,boolq,CCS,10,h10,0.6,100,False
arc_easy,imdb,CCS,10,h10,0.53,100,False
arc_easy,dbpedia_14,CCS,10,h10,0.86,100,False
arc_easy,arc_easy,LAT,10,h10,0.36,50,True
arc_easy,common_sense_qa,LAT,10,h10,0.2,40,False
arc_easy,boolq,LAT,10,h10,0.63,100,False
arc_easy,imdb,LAT,10,h10,1.0,100,False
arc_easy,dbpedia_14,LAT,10,h10,0.97,100,False
arc_easy,arc_easy,DIM,10,h10,0.4,50,True
arc_easy,common_sense_qa,DIM,10,h10,0.1,40,False
arc_easy,boolq,DIM,10,h10,0.59,100,False
arc_easy,imdb,DIM,10,h10,0.97,100,False
arc_easy,dbpedia_14,DIM,10,h10,0.78,100,False
arc_easy,arc_easy,LDA,10,h10,0.46,50,True
arc_easy,common_sense_qa,LDA,10,h10,0.25,40,False
arc_easy,boolq,LDA,10,h10,0.64,100,False
arc_easy,imdb,LDA,10,h10,0.62,100,False
arc_easy,dbpedia_14,LDA,10,h10,0.78,100,False
arc_easy,arc_easy,LR,10,h10,0.42,50,True
arc_easy,common_sense_qa,LR,10,h10,0.15,40,False
arc_easy,boolq,LR,10,h10,0.61,100,False
arc_easy,imdb,LR,10,h10,1.0,100,False
arc_easy,dbpedia_14,LR,10,h10,0.8,100,False
arc_easy,arc_easy,LR-G,10,h10,0.4,50,True
arc_easy,common_sense_qa,LR-G,10,h10,0.125,40,False
arc_easy,boolq,LR-G,10,h10,0.58,100,False
arc_easy,imdb,LR-G,10,h10,0.57,100,False
arc_easy,dbpedia_14,LR-G,10,h10,0.57,100,False
arc_easy,arc_easy,PCA,10,h10,0.36,50,True
arc_easy,common_sense_qa,PCA,10,h10,0.2,40,False
arc_easy,boolq,PCA,10,h10,0.61,100,False
arc_easy,imdb,PCA,10,h10,1.0,100,False
arc_easy,dbpedia_14,PCA,10,h10,0.97,100,False
arc_easy,arc_easy,PCA-G,10,h10,0.32,50,True
arc_easy,common_sense_qa,PCA-G,10,h10,0.225,40,False
arc_easy,boolq,PCA-G,10,h10,0.58,100,False
arc_easy,imdb,PCA-G,10,h10,1.0,100,False
arc_easy,dbpedia_14,PCA-G,10,h10,0.66,100,False
arc_easy,arc_easy,CCS,12,h12,0.3,50,True
arc_easy,common_sense_qa,CCS,12,h12,0.2,40,False
arc_easy,boolq,CCS,12,h12,0.52,100,False
arc_easy,imdb,CCS,12,h12,0.51,100,False
arc_easy,dbpedia_14,CCS,12,h12,0.55,100,False
arc_easy,arc_easy,LAT,12,h12,0.36,50,True
arc_easy,common_sense_qa,LAT,12,h12,0.225,40,False
arc_easy,boolq,LAT,12,h12,0.61,100,False
arc_easy,imdb,LAT,12,h12,1.0,100,False
arc_easy,dbpedia_14,LAT,12,h12,0.75,100,False
arc_easy,arc_easy,DIM,12,h12,0.38,50,True
arc_easy,common_sense_qa,DIM,12,h12,0.125,40,False
arc_easy,boolq,DIM,12,h12,0.6,100,False
arc_easy,imdb,DIM,12,h12,0.77,100,False
arc_easy,dbpedia_14,DIM,12,h12,0.83,100,False
arc_easy,arc_easy,LDA,12,h12,0.42,50,True
arc_easy,common_sense_qa,LDA,12,h12,0.275,40,False
arc_easy,boolq,LDA,12,h12,0.64,100,False
